game,critic_score,user_score
Suikoden Tactics,7.3,
NCAA March Madness 06,8.7,
Pillars of Eternity II: Deadfire,8.8,7.7
Phantasy Star Online,8.9,
Crazy Taxi 3: High Roller,,
Midnight Club 3: DUB Edition Remix,8.8,
International Superstar Soccer 2000,,
CandyLand / Chutes & Ladders / Memory,,
Kung Fu Rider,4.3,
The Amazing Spider-Man (2012),,
The Bible Game,6.5,
Major League Baseball 2K11,7,
Drift King Shutokou Battle '94,,
Shining Blade,,
Volgarr the Viking,7.6,7.7
Need for Speed Carbon: Own the City,7.5,
Job Simulator,,
The Ultimate Red Ball Challenge,,
PBR: Out of the Chute,3.5,
The King of Fighters Collection: The Orochi Saga,7.8,
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,,
Port Royale 3,,
We Sing Robbie Williams,,
Enchanted Arms,5.9,
Major League Baseball 2K12,7,
Saturday Night Speedway,,
CSI: Deadly Intent,,
Bratz: Rock Angelz,,
Langrisser III,,
MLB SlugFest 20-03,8.1,
Samurai Spirits (CD),,
Earth Defense Force 4.1: The Shadow of New Despair,,
Eagle Flight,7.3,6.9
Dwarfs!?,,
Pitfall: The Lost Expedition,7.8,
Deal or No Deal: The Banker is Back!,,
From TV Animation One Piece: Grand Battle! 3,,
Rocket Power: Zero Gravity Zone,,
Le Mans 24 Hours,8,
ESPN MLB Baseball,,
Shrek: Forever After,,
Divekick,7,
All Star Pro-Wrestling,,
Dragon Ball Z: Harukanaru Densetsu,7.5,
Dark Messiah of Might and Magic Elements,5,
Wizards of Waverly Place: Spellbound,,
Shaun White Skateboarding,6.6,
Harvest Moon: More Friends of Mineral Town,8,
Infinite Space,7.2,
The Fairly Odd Parents: Shadow Showdown,,
Planet 51,5,
DanceMasters,6.2,
Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,,
Black Panther 2: Yakuza Ashura Chapter,,
Just Dance: Greatest Hits,,
DarkStar One: Broken Alliance,6.4,
NBA 2K2,8.8,
X2: Wolverine's Revenge,7.7,
Teenage Mutant Ninja Turtles: Danger of the Ooze,,
7th Dragon 2020,,
Cars,7,
Dragon Ball: Revenge of King Piccolo,6.1,8
Taiko no Tatsujin: Waku Waku Anime Matsuri,,
Spy Hunter,7.9,
Dead to Rights II,6.8,
Super Dodge Ball Advance,6.5,
Ogre Battle Saga Episode Five: The March of the Black Queen,7.6,
Apache: Air Assault,7.5,
"Ni Hao, Kai-lan: New Year's Celebration",,
MLB 12: The Show,8,7.8
Body and Brain Connection,6,
MDK,8,
Monster Jam,,
Rock Band Track Pack: Classic Rock,5,
Ty the Tasmanian Tiger 2: Bush Rescue,7.4,
Sniper: Ghost Warrior 2,,
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,,
Speed Punks,9,
3rd Super Robot Wars Z: Tengoku-Hen,,
Cabela's Survival: Shadows of Katmai,,
The Legend of Heroes: Ao no Kiseki,,
Clive Barker's Jericho,5.8,
Warriors Orochi,6.4,
MVP Baseball 2003,8.5,
Earth Defense Force: Insect Armageddon,6.6,
NCAA Final Four 2004,,
NBA 07,6.9,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",8.3,
Agony,4.7,4.2
Battlefield 2: Euro Force,,
Body Harvest,8.4,
Disney's Tarzan,,
Gothic,8.1,
Gothic II,8,
J-League Pro Soccer Club o Tsukurou! 7 Euro Plus,,
Magical Tetris Challenge,7.8,
Phantasy Star Universe,6.4,
Rise of Nightmares,5.5,
Roadsters 99,6.4,
San Francisco Rush 2049,9,
Snowboard Kids,8,
South Park Rally,4.2,
Super Robot Taisen 64,,
Tigger's Honey Hunt,7.3,
Twisted Edge Extreme Snowboarding,,
Worms,,
IHRA Drag Racing 2004,1.9,
Treasure World,7.5,
Alien Breed: Impact,,
Shining Hearts,,
SingStar: Back to the 80s,,
Marvel: Ultimate Alliance 2,5.8,
Sid Meier's Pirates!,8.5,
Cabela's North American Adventures,,
Front Mission Evolved,6,
Jissen Pachi-Slot Hisshouhou! Aladdin A,,
Ford Racing Off Road,3.5,
Namco Museum: 50th Anniversary,6,
Nobunaga no Yabou: Reppuuden,,
Resident Evil Zero,,
The Room Two,,
Ashes Cricket 2009,,
The BIGS 2,,
Sleeping Dogs: Definitive Edition,7.5,7.8
Project CARS 2,8.4,5.6
Press Your Luck 2010 Edition,,
Mat Hoffman's Pro BMX 2,8.1,
Treasure Hunter G,,
From Russia With Love,7.9,
Wing Arms,,
Marvel Super Hero Squad: Comic Combat,,
Space Pilgrim Episode I: Alpha Centauri,,
Full Mojo Rampage,,
Pro Yakyuu Spirits 2013,,
Titanfall 2,8.6,8.2
Cabela's Big Game Hunter (2008),,
Record of Agarest War,7,
Ridge Racer 6,7.9,
The Cheetah Girls: Passport to Stardom,7,
Grandia II,8.6,
Namco Museum Vol.4,,
Classic NES Series: Ice Climber,6.1,
Neighborhood Games,4,
Shark Tale,,
UFC Personal Trainer: The Ultimate Fitness System,4,
NFL Street 2,8.2,
Atelier Shallie: Alchemists of the Dusk Sea,,
God Eater Resurrection,,
Pro Yakyuu Spirits 2013,,
My Secret World by Imagine,6,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,5.5,
Gladius,8,
CSI: Unsolved!,,
Skylanders: SuperChargers Racing,,
Untold Legends: Dark Kingdom,6.5,
Dave Mirra Freestyle BMX 2,6.9,
Dante's Inferno,6.6,
Soldier of Fortune: Payback,6.1,
Arcana Heart 3,7,
Pro Yakyuu Spirits 2012,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,,
The Walking Dead: Michonne,,
Afro Samurai,6.5,
Taiko no Tatsujin: Go! Go! Godaime,,
Taiko Drum Master,8.1,
Bust-A-Move 2 Arcade Edition,6.9,
Bleach: The 3rd Phantom,7,
Solatorobo: Red the Hunter,7.6,
Tetris Worlds (Online Edition),,
Forgotten Realms: Demon Stone,7.3,
Super Baseball Simulator 1.000,,
Battleborn,6.9,7.1
Looney Tunes: Space Race,6.9,
Just Dance 2: Extra Songs,,
Puzzle Challenge: Crosswords and More!,6.4,
Mahjongg Mysteries: Ancient Egypt,,
Backyard Hockey,6,
Rock Band Track Pack Volume 2,,
Yoga: The first 100% Experience,,
Playboy: The Mansion,6.9,
X-Men Origins: Wolverine,5,
Jikkyou Powerful Pro Yakyuu 2010,,
Tom Clancy's Splinter Cell: Essentials,5.6,
Agents of Mayhem,6.2,6.6
Ore no Shikabane o Koete Yuke,,
Captain America: Super Soldier,6.2,
Shaman King: Spirit of Shamans,,
Tiger Woods PGA Tour 06,8,
Ratatouille,6.8,
The Fairly Odd Parents: Enter the Cleft,,
Armored Core 4,6.6,
Shin Megami Tensei: Strange Journey Redux,8,3.2
Baja: Edge of Control,5,
MC Groovz Dance Craze,2.5,
No More Heroes: Heroes' Paradise,7.4,
The Thing,8.3,
Tom and Jerry in House Trap,4,
Power Rangers: Time Force,,
Chronicles of Mystery: Curse of the Ancient Temple,,
MotoGP 14,7.3,6.5
Total War: Shogun 2 - Fall of the Samurai,8.6,8.5
Jikkyou Powerful Pro Yakyuu 2011,,
DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan,,
Baldur's Gate: Dark Alliance,8.5,
Prince of Persia: Warrior Within,8.2,
Warriors Orochi,6.3,
Aikatsu! Cinderella Lesson,,
UFC: Tapout,8.3,
Batman: Return to Arkham,,
Way of the Samurai 4,5.5,
Predator: Concrete Jungle,5.5,
Big Mutha Truckers 2,5.5,
The Naked Brothers Band: The Video Game,,
Sid Meier's Starships,6.4,4.3
Injustice: Gods Among Us,,
X-Men Origins: Wolverine,5.4,
NHL FaceOff 2001,4.6,
Mana Khemia 2: Fall of Alchemy,8.2,
The Great Escape,5,
Dead or Alive Paradise,4.5,
Dexter's Lab Chess Challenge,,
Shutter Island,,
Big Mutha Truckers,6.3,
ESA Foundation Compilation,,
Nascar Unleashed,,
The Hobbit,6.5,
Odin Sphere: Leifthrasir,,
Need for Speed: The Run,6.5,6.3
The King of Fighters XI,8,
Harry Potter and the Goblet of Fire,7.2,
Call of Duty: Modern Warfare Remastered,,
Family Guy,5.5,
Rune Factory: Tides of Destiny,5.5,
Dragon Ball Z: Idainaru Dragon Ball Densetsu,,
Pac-Man & Galaga Dimensions,5.7,7.1
Valkyria Chronicles 4,8.6,8.6
NBA Ballers: Chosen One,6,
Spectrobes: Origins,7.4,
Iron Chef America: Supreme Cuisine,6.8,
Sniper Elite,7.6,
Among The Sleep,,
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,,
Parlor! Mini 4,,
Breath of Fire II,8.6,
Danganronpa 2: Goodbye Despair,,
Conan,7.1,
Ice Age 2: The Meltdown,7.4,
Petz Pony: Beauty Pageant,,
Steins;Gate,,
Dinotopia: The Timestone Pirates,6.1,
Dishonored: Definitive Edition,7.6,7.4
Power Pro Kun Pocket 12,,
Rise of the Argonauts,5.3,
Peter Jackson's King Kong: The Official Game of the Movie,6,
One Piece: Burning Blood,6,6.4
Rock Band Country Track Pack,,
New Love Plus,,
J-League Jikkyou Winning Eleven 3,,
Are You Smarter Than a 5th Grader? Back to School,,
We Wish You A Merry Christmas,,
Jissen Pachi-Slot Hisshouhou,,
Hot Wheels: Track Attack,,
Death Coming,,
Manhunt,7.7,
Pet Zombies,,
Dynasty Warriors: Gundam 2,5.6,
NCAA Final Four 2003,6,
Quantum Theory,,
Dream Salon,,
Scene It? Twilight,,
La-Mulana,,
The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou,,
101-in-1 Explosive Megamix,,
J-League Excite Stage '96,,
The Smurfs 2,,
Nobunaga no Yabou: Souzou,,
Shiren the Wanderer,7.4,
Breath of Fire: Dragon Quarter,7.6,
Spore Hero Arena,4.9,
Jikkyou J-League Perfect Striker,,
Super Robot Taisen: Scramble Commander,,
Re-Volt,6.1,
Primal Carnage: Extinction,,
Space Invaders Extreme 2,8.1,
Descent,7,
Closure,,
Conflict: Denied Ops,5.3,
Enchanted Arms,6.9,
Test Drive Unlimited 2,6.7,5.7
SpongeBob SquigglePants 3D,6.1,
South Park: The Stick of Truth,9,8.6
Taiko no Tatsujin: Wii U Version!,,
Disney's Magical Mirror Starring Mickey Mouse,4,
Dawn of Discovery,7.9,
FIFA 17,8.4,4.1
Barbie Fashion Show: An Eye for Style,,
Final Fantasy XI: Online,6.7,
IHRA Professional Drag Racing 2005,,
SpongeBob's Surf & Skate Roadtrip,,
Mace Griffin: Bounty Hunter,6.3,
The Spiderwick Chronicles,7.5,
Legacy of Kain: Defiance,8,
Trivial Pursuit unhinged,,
Tales of the World: Narikiri Dungeon 2,,
Majin and the Forsaken Kingdom,7,
Aliens versus Predator: Extinction,,
Silent Scope 2: Dark Silhouette,,
Dave Mirra Freestyle BMX 2,8,
International Cricket 2010,,
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,,
Mars: War Logs,5.3,7.2
NHL Hitz Pro,8.6,
Tokimeki Memorial Girl's Side 3rd Story,,
I SPY castle,,
Avatar: The Last Airbender - Into the Inferno,,
Allied General,6.3,
Call of Duty: WWII,7.3,3.4
Fire ProWrestling G,8,
Kamen Rider: Battride War,,
Naruto: Ninja Destiny,7.2,
WWE All Stars,7,
Elite: Dangerous,7.7,7.1
Namco Museum Megamix,,
Shovel Knight,9,7.7
Stronghold 3,4.1,3
Schlag den Raab,,
Singstar: Ultimate Party,,
NeverEnd,,
Spider-Man: Shattered Dimensions,7.5,
GunGriffon,,
Kuma-Tomo,,
SingStar Pop Vol.2,,
SNK Arcade Classics Vol. 1,,
Darkstalkers 3,8,
Phantasy Star Nova,,
Chaotic: Shadow Warriors,,
Frequency,9,
Tomb Raider: Underworld,,
Inazuma Eleven Strikers 2012 Xtreme,,
The Polar Express,,
Project X Zone 2,6.6,7.6
Silent Hill HD Collection,9,
NBA Live 19,7.3,6.5
Arc Rise Fantasia,6.3,
2002 FIFA World Cup,8.2,
Captain Toad: Treasure Tracker,8.5,7.6
Heavy Fire: Afghanistan,,
Jampack: Summer 2003 (RP-T),,
Arcade Shooting Gallery,,
IL-2 Sturmovik: Birds of Prey,6.4,
Mystery Tales of Time Travel,,
LEGO Marvel's Avengers,,
Dengeki Bunko Fighting Climax,,
Frogger's Adventures 2: The Lost Wand,8,
Sudeki,7.8,
Ice Age: Dawn of the Dinosaurs,6.6,
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",,
AeroFighters Assault,5.4,
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),,
Hexen,4.4,
Kamaitachi no Yoru ?? 3,,
Mace: The Dark Age,7.1,
Puyo Puyo 7,,
Puyo Puyo Sun 64,,
Quake,8,
Sesame Street: Elmo's Number Journey,,
Tottadoo! Yoiko no Mujintou Seikatsu,,
Teenage Mutant Ninja Turtles 2: Battle Nexus,5,
Barbie Horse Adventures: Riding Camp,6.3,
SSX Tricky,6.5,
Air Conflicts: Secret Wars,,
Kenka Banchou 4: Ichinen Sensou,,
Transformers: Prime,,
NBA 2K11,8,
Dead Space 3,7.8,6.1
Warhammer: Shadow of the Horned Rat,,
50 Cent: Blood on the Sand,7.2,
FaceBreaker,5,
Pro Yakyuu Team o Tsukurou!,,
ESPN International Track & Field,,
Toukiden Kiwami,,
Infested Planet,7.5,7.7
DanceDanceRevolution,,
Lunar Legend,7.7,
Conflict: Global Terror,6,
Death Jr.,5.9,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,,
The Walking Dead: Season Two,,
3rd Super Robot Wars Z Jigoku Hen,,
Cabela's Survival: Shadows of Katmai,,
Hulk,7.3,
Boogie,,
Gungrave,,
Transworld Surf,,
Tenchu: Fatal Shadows,6.5,
Magical ZhuZhu Princess: Carriages & Castles,,
Jurassic: The Hunted,,
Reel Fishing Paradise 3D,,
Fairy Fencer F,,
Street Fighter 30th Anniversary Collection,8.5,
The Legend of Spyro: A New Beginning,6.5,
Fantasia: Music Evolved,7.7,7.4
International Soccer,,
Armored Core: For Answer,6.1,
Princess Maker: Yumemiru Yosei,,
Conflict: Denied Ops,5.2,
Squeeballs Party,5.8,
Where's Waldo? The Fantastic Journey,,
Big Air,6.5,
Farmtopia,,
Shining Force II,9,
Gallop Racer,8.5,
Harry Potter and the Prisoner of Azkaban,6.1,
The Dark Eye: Chains of Satinav,7.5,7.7
Sudoku Gridmaster (JP sales),,
Remember Me,5.9,
Driver: San Francisco,8.3,7.1
College Slam,,
Monsters vs. Aliens,5,
The Testament of Sherlock Holmes,7.3,7.9
How to Train Your Dragon 2,,
Creed: Rise to Glory,7.5,6.8
God Eater 3,7.1,7.2
Pro Evolution Soccer 2014,,
Pro Yakyuu Spirits 4,,
Risen,5.9,
Tamagotchi Party On!,,
Beyblade: Metal Fusion - Battle Fortress,,
A Hat in Time,7.9,8.5
Daigasso! Band Brothers,8,
Family Feud: 2012 Edition,,
Rise of the Kasai,7.8,
Thoroughbred Breeder,,
Momotarou Dentetsu World,,
Nostalgia,7.2,
Dynasty Warriors Gundam,6,
Rango: The Video Game,,
"Ni Hao, Kai-lan: Super Game Day",,
Chibi-Robo! Park Patrol,,
Binary Domain,7.5,
Major League Baseball 2K10,7.2,
Tokyo Xanadu,7.4,7.9
One Piece: Unlimited Adventure,6.8,
Crash & Spyro Superpack,,
Batman: A Telltale Game Series,,
Tekken Tag Tournament 2,8.1,
The Ball,6.3,
Mirror's Edge Catalyst,7.2,5.7
ThunderStrike 2,,
Dreamfall Chapters,7.1,7.7
Pro Yakyuu Spirits 2012,,
Barbie Horse Adventures: Riding Camp,6.2,
Warriors: Legends of Troy,6,
Jeep Thrills,,
Super Real Mahjong P V,,
The Adventures of Jimmy Neutron Boy Genius: Game Boy Advance Video Volume 1,,
Face Training,,
Penguin no Mondai X: Tenkuu no 7 Senshi,,
The Scorpion King: Sword of Osiris,8,
Bubsy 3D,5.8,
SBK X: Superbike World Championship,,
Mathews Bowhunting,,
Earth Defense Force: Insect Armageddon,6.7,
The Surge,7.3,6.8
Hydrophobia: Prophecy,5.5,
Fran Bow,,
NCAA Final Four 2001,5,
Half-Minute Hero,8.5,
Nascar Unleashed,,
Robin Hood: Defender of the Crown,7.1,
SD Gundam GX,,
R-Type Final,8.1,
Saints Row IV,7.3,7.4
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),,
GRID: Autosport,,
Jackie Chan Adventures: Legend of the Dark Hand,7.8,
Bolt,5.1,
Shadows of the Damned,7.6,
Sega GT 2002,,
Ty the Tasmanian Tiger 3: Night of the Quinkan,6.3,
Disney's Meet the Robinsons,,
Samurai Warriors 2: Empires,,
Blood Omen 2,,
Saw II: Flesh & Blood,4.2,
Need for Speed: Shift 2 Unleashed,8.6,
Harry Potter: Quidditch World Cup,7.2,
J-League Pro Soccer Club o Tsukurou! 5,,
Little Battlers eXperience W,,
Cabela's Survival: Shadows of Katmai,,
Camping Mama: Outdoor Adventures,,
Daigasso! Band Brothers P,,
WWE All Stars,7,
La Pucelle: Tactics,8.8,
Hot Wheels: Battle Force 5,5.3,
Hidden Mysteries: Vampire Secrets,,
Battle of Giants: Dinosaurs Strike,5,
Tiger Woods PGA Tour 07,7.9,
Naruto to Boruto: Shinobi Striker,6,5.8
XCOM 2,8.7,7.4
Star Wars: The Clone Wars & Tetris Worlds,,
The Bee Game,6,
CSI: Fatal Conspiracy,,
Happy Cooking,6,
EverQuest Online Adventures: Frontiers,,
F1 2017,8.4,7.2
Imagine: Babyz Fashion,,
Go Play: Lumberjacks,,
Phantasy Star Online Ver. 2,8.3,
Treasures of the Deep,8,
Ninja Gaiden 3: Razor's Edge,6.5,7.5
Samurai Warriors: State of War,6.5,
Dragon Blade: Wrath of Fire,5.6,
Ghostbusters: The Video Game,5.8,
Fight Club,4.5,
Remington Super Slam Hunting: North America,,
Arcania: Gothic 4,5.8,
The Munchables,8,
Active Health with Carol Vorderman,,
Dance Dance Revolution: Disney Grooves,5.9,
Valhalla Knights 3,4.8,6.9
Cars: Race-O-Rama,,
Harvest Moon: A Wonderful Life Special Edition,,
Sports Illustrated for Kids: Football,5,
Senran Kagura: Estival Versus,,
.hack//Quarantine Part 4: The Final Chapter,6.8,
F1 2011,8.1,7.1
Chaotic: Shadow Warriors,6.5,
Close Combat: First to Fight,8,
Mahjong: Journey Quest for Tikal,,
Shape Up,,
Indiana Jones and the Emperor's Tomb,6.1,
Buffy the Vampire Slayer: Chaos Bleeds,7.7,
Reel Fishing II,6.3,
PlayStation Move Heroes,4.8,
Ty the Tasmanian Tiger,7,
Bendy and the Ink Machine,7.1,5.7
Sword Art Online: Fatal Bullet,6.1,7.4
Dead or Alive,7.9,
Sacred 3,5.7,1.5
Driving Emotion Type-S,7,
Jewel Master: Cradle of Athena,,
Siren,7.7,
Ridge Racer,3,3.7
Disgaea DS,8,
NARC,5.5,
Dinosaur King,6.6,
Super Robot Taisen J,,
Nep League DS,,
Ar tonelico 2: Melody of Metafalica,7.2,
Casper: Friends Around the World,,
Jurassic Park III: Island Attack,4.9,
My Fitness Coach 2: Exercise and Nutrition,,
Ringling Bros. and Barnum & Bailey Circus,,
Star Trek: Legacy,6.4,
GameBoy Wars,,
MotoGP 15,,
Amplitude,9.3,
Syndicate,7.5,
Gauntlet: Seven Sorrows,7,
AirForce Delta Storm,6.2,
Brunswick Pro Bowling,4,
Conception II: Children of the Seven Stars,6.2,7.2
Monopoly Party,4.5,
Fear Effect 2: Retro Helix,6.9,
Contrast,7.5,7.6
MotoGP,,
Mushroom Men: The Spore Wars,7.3,
Doctor Who: Return to Earth,,
Chocobo no Fushigi Dungeon for WonderSwan,,
International Superstar Soccer 2000 (JP weekly sales),,
Klonoa: Door to Phantomile,8,
Marvel Super Hero Squad: Comic Combat,,
Vietcong: Purple Haze,5,
Atari Anniversary Advance,7.7,
Summer Athletics: The Ultimate Challenge,5.2,
Alone In The Dark,3.1,
Hatsune Miku and Future Stars: Project Mirai,,
Jeopardy!,,
Digimon Story: Cyber Sleuth,,
Peggle Nights,7.8,
The Last Airbender,,
X-Men Origins: Wolverine,4.5,
TalkMan (Japan),,
Big Hero 6: Battle in the Bay,,
Bloody Roar: Primal Fury,7.9,
Mega Man Soccer,,
You Don't Know Jack,8.2,
Anarchy Reigns,5.9,
Call of Juarez,6.9,
Backbreaker,5.2,
Deus Ex: The Fall,4.5,3
The Elder Scrolls IV: Shivering Isles,8.9,
Resident Evil: Revelations,7.2,7.2
FIFA 07 Soccer,8.3,7.6
Rio,,
Rabbids Party Collection,,
Call of Duty: World at War,8.6,
Pokemon I Choose You / Squirtle Squad Game Boy Advance Video,,
Vampire Savior: The Lord of Vampire,,
Might & Magic: Clash of Heroes,8.6,
Grand Slam Tennis 2,8.5,
Shrek SuperSlam,4.5,
Space Run,7.3,7.6
Super Robot Wars UX,,
Lovely Planet,,
Six Flags Fun Park,3.5,
Test Drive Off-Road Wide Open,,
RollerCoaster Tycoon World,4.3,2.1
Sing4: The Hits Edition,,
de Blob 2,8.1,
Pro Yakyuu Spirits 2011,,
Multiwinia,,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",7.2,
Battle Commander: Hachibushu Shura no Heihou,,
Senran Kagura 2: Deep Crimson,5.8,6.5
Bad Boys: Miami Takedown,3.6,
Jampack Vol. 1,,
Bomber Crew,7.5,7.3
The Chronicles of Narnia: Prince Caspian,6.3,
Mega Man X: Command Mission,8.3,
Tokyo Xtreme Racer DRIFT,4.5,
Moon,,
Call of Duty: Modern Warfare Trilogy,,
Mobile Suit Gundam: Extreme VS Force,,
Cabela's Big Game Hunter 2005 Adventures,,
Sumikko Gurashi: Koko ga Ochitsukundesu,,
Re-Volt,4.8,
Sesame Street: Elmo's Letter Adventure,,
Metal Gear Ac!d 2,8.3,
Gokujou Parodius,,
Pure Futbol,3.8,
Gauntlet: Dark Legacy,5,
A.C.E.: Another Century's Episode 2,,
Pro Evolution Soccer 2013,,
Shadow The Hedgehog,5,
Squeeballs Party,3.1,
Krater,5,7.1
Ben 10 Ultimate Alien: Cosmic Destruction,,
Shaun White Skateboarding,,
World of Outlaws: Sprint Cars,4.5,
SoulCalibur Legends,4.8,
Batman: Vengeance,6.2,
Trinity Universe,6.2,
MLB 11: The Show,,
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,,
Spider-Man: Friend or Foe,5,
The Adventures of Cookie & Cream,,
Enemy Front,5.2,5.7
Van Helsing,6.5,
Hatsune Miku: Project Diva X,,
Gun,7.9,
Star Wars Battlefront II,7,1
F1 Challenge,,
Hellboy: The Science of Evil,3.5,
How to Train Your Dragon,4.6,
One Piece: Pirate Warriors 3,,
DiRT Showdown,,
Ringling Bros. and Barnum & Bailey: Circus Friends,,
Shadow Madness,7,
Zumba Fitness Rush,,
Senran Kagura: Estival Versus,6.7,7.6
Danganronpa 2: Goodbye Despair,,
Back to the Future: The Game,,
Tiger Woods PGA Tour 2004,8,
Marvel Super Hero Squad: Comic Combat,,
The Game of Life / Yahtzee / Payday,,
American Chopper 2: Full Throttle,6,
Despicable Me: The Game,,
Silent Hill 4: The Room,8,
Commandos 2: Men of Courage,7,
Mega Man III,,
Yu-Gi-Oh! Legacy of the Duelist,,
Brink,7,6
Burnout Legends,3.8,
Pirates: Hunt For Blackbeard's Booty,,
Escape the Museum,,
FIFA Soccer 2002,8.6,
Otomedius Excellent,7,
Atari Anniversary Edition Redux,,
Splatterhouse,,
Toukiden,,
Danganronpa V3: Killing Harmony,8,7.7
Fireblade,7.7,
Cabela's Big Game Hunter: Hunting Party,,
Sega Genesis Classics,7.9,8.1
Disney's Tarzan Untamed,,
Hello Kitty: Birthday Adventures,,
Brunswick Circuit Pro Bowling,8.2,
Chuck E. Cheese's Party Games,,
Naruto Shippuden: Dragon Blade Chronicles,4.3,
Cabela's Dangerous Hunts 2009,,
Cities: Skylines,,
Ball Breakers,7.5,
MindJack,4.6,
Mobile Suit Gundam Seed Destiny: Generation of C.E.,,
EyeToy: Groove,7.5,
Lips: Party Classics,7.3,
Twisted Metal: Small Brawl,4.5,
Charlie and the Chocolate Factory,3.9,
Armored Core: Last Raven,6.4,
College Hoops 2K7,8.2,
Tomb Raider: Underworld,,
Full Auto 2: Battlelines,6.7,
DogFighter,,
All Grown Up! Express Yourself,3.7,
Cabela's Adventure Camp,,
Monster 4x4: Stunt Racer,,
K-1 World Grand Prix,8.3,
Lego Star Wars: The Force Awakens,,
Kidou Senshi Gundam: Senjou no Kizuna Portable,,
Danganronpa 2: Goodbye Despair,8.1,8.8
Super Robot Taisen A Portable,,
Juiced,6.8,
WWE SmackDown vs. Raw 2009,7.5,
FIFA Soccer 11,8.4,
Looney Tunes: Back in Action,4.5,
Tales of Maj'Eyal,,
Yu-Gi-Oh! Zexal Clash! Duel Carnival!,,
Sniper: Ghost Warrior 3,5.7,6.3
Gish,8.2,
Virtua Tennis,9,
Biohazard: Revival Selection,,
SimCity Creator (JP sales),,
Tales of the Tempest,,
Sonic Riders: Zero Gravity,5.8,
BlazBlue: Chrono Phantasma Extend,8.5,7.6
UFC: Sudden Impact,,
Dynasty Warriors: Gundam 3,6.5,
NBA Hoopz,4,
Nancy Drew: The Hidden Staircase,,
ESPN X Games Skateboarding,5.7,
College Hoops 2K8,8.2,
Speedball 2100,7.4,
Velvet Assassin,5.3,
EyePet & Friends,,
LEGO Island 2: The Brickster's Revenge,,
Backyard Basketball,6,
Madden NFL 09,,
Backbreaker,5,
Fancy Nancy: Tea Party Time!,,
How to Train Your Dragon 2,,
Scooby-Doo! Unmasked,,
Summon Night 4,,
NHL 2004,8.8,
Pro Yakyuu Spirits 5,,
Namco Museum: 50th Anniversary,5,
Country Dance: All Stars,,
NFL 2K2,8.3,
NBA Starting Five,4,
The Suffering: Ties That Bind,8.1,
EyeToy: Kinetic,8,
Project Spark,7.3,6.9
Army Men: Sarge's Heroes 2,4.5,
Borderlands,8.3,
Rapala Fishing Frenzy 2009,2.5,
Might & Magic Heroes VII,,
Demon Gaze,7,7.5
The Wild Thornberrys: Animal Adventures,,
Medieval II: Total War Kingdoms,8.2,
SEGA Bass Fishing Duel,7,
Teen Titans,5.5,
Time and Eternity,5.6,
Pictionary,,
Petz: Horseshoe Ranch,,
Sports Illustrated for Kids: Baseball,3.5,
Mark Davis Pro Bass Challenge,,
Rugrats: Royal Ransom,,
Jewel Match,,
Winning Eleven: Pro Evolution Soccer 2007,6.1,
Warriors of Might and Magic,5,
Open Season,6.4,
The Walking Dead - The Telltale Series: A New Frontier,,
Marvel Super Hero Squad: The Infinity Gauntlet,,
Street Fighter: The Movie,,
Major League Baseball 2K9,6.8,
Race Pro,7.7,
Axiom Verge,8,7.7
Stormrise,4.9,
World Championship Poker,,
WordJong Party,7.3,
Global Defence Force,,
Skate it,,
uDraw Studio: Instant Artist,,
Major League Baseball 2K6,6.2,
SaGa 2: Hihou Densetsu - Goddess of Destiny,,
Smash Court Tennis Pro Tournament,8,
Super Robot Taisen L,,
The Grim Adventures of Billy & Mandy,7.2,
NBA Inside Drive 2004,8.4,
The King of Fighters '97,,
Professional Fisherman's Tour: Northern Hemisphere,4.5,
Time Commando,,
Backyard Sports Football: Rookie Rush,,
Kekkaishi: Karasumori Ayakashi Kidan,,
Gretzky NHL 2005,8.3,
Company of Heroes: Anthology,,
Horrid Henry: Missions of Mischief,,
Michael Jackson: The Experience 3D,,
Trauma Team,8.1,
Bendy and the Ink Machine,,
The Chronicles of Narnia: Prince Caspian,6.3,
The Hobbit,5,
Apotheon,7.8,7.7
Cabela's Legendary Adventures,,
Lost in Blue 3,5.5,
Cabela's Legendary Adventures,,
True Crime: New York City,6.4,
Metal Arms: Glitch in the System,8.3,
X-Men: The Official Game,4.9,
Rush: A Disney Pixar Adventure,,
