game,platform,publisher,developer,games_sold,year
Hexcells Infinite,PC,Matthew Brown,Matthew Brown,0.1,2014
Agatha Christie: The ABC Murders,DS,DreamCatcher Interactive,DreamCatcher Interactive,0.1,2009
Math Blaster in the Prime Adventure,DS,Majesco,Knowledge Adventure Inc.,0.1,2009
Blue Stinger,DC,Activision,Climax Entertainment,0.1,1999
Shellshock,PS,U.S. Gold,Core Design Ltd.,0.1,1998
Z,PC,Virgin Interactive,Bitmap Brothers,0.1,1996
Warriors All-Stars,PS4,Tecmo Koei,Omega Force,0.1,2017
Hot Wheels Ultimate Racing,PSP,Activision,Unknown,0.1,2007
Monkey Island: Special Edition Collection,PS3,Activision,LucasArts,0.1,2011
The Elder Scrolls Online: Summerset,PS4,Bethesda Softworks,ZeniMax Online Studios,0.1,2018
Capcom vs. SNK 2 EO,XB,Capcom,Capcom,0.1,2003
SimAnimals Africa,DS,Electronic Arts,The Sims Studio,0.1,2009
Inazuma Eleven GO Strikers 2013,Wii,Level 5,Level 5,0.1,2012
Metal Gear Solid HD Edition,PS3,Konami Digital Entertainment,Unknown,0.1,2011
Hunter: The Reckoning,GC,Interplay,High Voltage Software,0.1,2002
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,DS,Paon,Paon Corporation,0.1,2007
Dancing on Ice,Wii,Ghostlight,Infusion Games Ltd,0.1,2010
Urban Chaos,PS,Eidos Interactive,Mucky Foot Productions,0.1,2000
Homeworld: Deserts of Kharak,PC,Gearbox Publishing,Blackbird Interactive,0.1,2016
Kamen Rider: Climax Heroes W,Wii,Namco Bandai,Eighting,0.1,2009
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,DS,Shogakukan,Jupiter Corporation,0.1,2007
Freaky Flyers,PS2,Midway Games,Midway Games,0.1,2003
NASCAR Heat 3,XOne,704Games,Monster Games,0.1,2018
Starlink: Battle for Atlas,PS4,Ubisoft,Ubisoft Toronto,0.1,2018
Baten Kaitos Origins,GC,Nintendo,tri-Crescendo / Monolith Soft,0.1,2006
E? O? E: Eve Of Extinction,PS2,Eidos Interactive,Yuke's Future Media Creators,0.1,2002
Mega Man Legacy Collection 2,PS4,Capcom,Capcom,0.1,2017
Surf's Up,X360,Ubisoft,Ubisoft Montreal,0.1,2007
Dark Summit,XB,THQ,Radical Entertainment,0.1,2001
Generator Rex: Agent of Providence,3DS,Activision,Virtuos,0.1,2011
Penguin no Mondai: The World,DS,Konami,Konami,0.1,2010
Flushed Away,DS,D3 Publisher,Art,0.1,2006
Cabela's Adventure Camp,X360,Activision,Activision,0.1,2011
Zone of the Enders: The 2nd Runner MARS,PS4,Konami,Cygames,0.1,2018
Hakuouki Portable,PSP,Idea Factory,Idea Factory,0.1,2009
Hyperdimension Neptunia Re;Birth 3: V Generation,PSV,Idea Factory International,Compile Heart,0.1,2015
NHL 2004,GC,EA Sports,EA Black Box,0.1,2003
X-Men: The Official Game,XB,Activision,"Z-Axis, Ltd.",0.1,2006
RLH: Run Like Hell,PS2,Interplay,Digital Mayhem,0.1,2002
Help Wanted: 50 Wacky Jobs,Wii,Hudson Soft,Hudson Soft,0.1,2009
Life Beetle,PC,Dagestan Technology,Grizlikyt,0.1,2017
LiEat,PC,AGM Playism,Miwashiba,0.1,2016
Backyard Baseball '10,Wii,Atari,Atari,0.1,2009
Water Sports,Wii,GameMill,FrontLine Studios,0.1,2009
Digimon Adventure,PSP,Namco Bandai Games,PROPE,0.1,2013
Record of Agarest War Zero,X360,Aksys Games,Compile Heart,0.1,2011
Starlink: Battle for Atlas,XOne,Ubisoft,Ubisoft Toronto,0.1,2018
Conflict: Global Terror,XB,2K Games,Pivotal Games,0.1,2005
Minority Report: Everybody Runs,GC,Activision,Treyarch,0.1,2002
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,Warner Bros. Interactive Entertainment,5TH Cell,0.1,2013
The Ant Bully,PS2,Midway Games,Artificial Mind and Movement,0.1,2006
Steins;Gate,PSV,5pb,5pb. Inc.,0.1,2015
Salt,PC,Lavaboots Studios,Lavaboots Studios,0.1,2018
Football Director DS,DS,Pinnacle,Sports Director Limited,0.1,2008
aMAZE,PC,Blender Games,Blender Games,0.1,2017
Monster Rancher EVO,PS2,Tecmo,Tecmo,0.1,2006
Assassin's Creed: Rogue,PC,Ubisoft,Ubisoft Sofia,0.1,2015
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,X360,Bethesda Softworks,Bethesda Softworks,0.1,2009
Project Hacker: Kakusei,DS,Nintendo,RED Entertainment,0.1,2006
Deca Sports DS,DS,Hudson Soft,Hudson Soft,0.1,2010
X-Men: Destiny,Wii,Activision,Silicon Knights,0.1,2011
KORG DS-10 Synthesizer Plus,DS,Xseed Games,AQ Interactive,0.1,2010
Guitar Hero: Van Halen,PS2,Activision,Neversoft Entertainment,0.1,2009
Knights of Pen and Paper 2,PC,Paradox Interactive,Kyy Games,0.1,2015
Olympic Summer Games: Atlanta 1996,PS,Eidos Interactive,Silicon Dreams,0.1,1996
Igor: The Game,Wii,SouthPeak Interactive,Legacy Interactive,0.1,2008
The Destiny of Zorro,Wii,505 Games,Pronto Games,0.1,2009
Disney's The Haunted Mansion,GC,TDK Mediactive,High Voltage Software,0.1,2003
Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,Capcom,Eighting,0.1,2008
Draglade,DS,Atlus,Dimps Corporation,0.1,2007
BallisticNG,PC,Neognosis,Neognosis,0.1,2018
The Smurfs 2,Wii,Ubisoft,Way Forward,0.1,2013
Darius Gaiden,SAT,Acclaim Entertainment,Aisystem Tokyo,0.1,1996
All Kamen Rider: Rider Generation 2,DS,Namco Bandai Games,Bandai Namco Games,0.1,2012
Beach Spikers: Virtua Beach Volleyball,GC,Sega,Sega-AM2,0.1,2002
Scribblenauts Unmasked: A DC Comics Adventure,3DS,Warner Bros. Interactive Entertainment,5TH Cell,0.1,2013
My Healthy Cooking Coach,DS,Ubisoft,Ubisoft,0.1,2009
You Don't Know Jack: Mock 2,PS,Sierra Entertainment,"Jellyvision, Inc.",0.1,2000
3D Tank Warfare Simulator Panzer Front,PS,Agetec,Enterbrain,0.1,2001
Leisure Suit Larry: Box Office Bust,PS3,Codemasters,Team17 Software,0.1,2009
Jade Cocoon 2,PS2,Ubisoft,Genki,0.1,2001
Lord of Apocalypse,PSV,Square Enix,Access Games,0.1,2011
Harry Potter and the Deathly Hallows - Part 1,PC,Electronic Arts,EA Bright Light,0.1,2010
Final Fantasy XIV Online Complete Edition,PS4,Square Enix,Square Enix,0.1,2017
Kabushiki Baibai Trainer: Kabutore!,DS,Konami,Kojima Productions,0.1,2006
Devil May Cry 4 Special Edition,PS4,Capcom,Capcom,0.1,2015
Puyo Puyo Tetris,PS4,Sega,Sonic Team,0.1,2017
Sword & Sorcery,SAT,Micro Cabin,Micro Cabin,0.1,1996
Myst,DS,Empire Interactive,Hopelite Research,0.1,2008
Van Helsing,GBA,VU Games,Saffire Corporation,0.1,2004
Bee Movie Game,PS2,Activision,Beenox,0.1,2007
Just Dance 2019,WiiU,Ubisoft,Ubisoft Paris,0.1,2018
Space Pirates And Zombies 2,PC,MinMax Games Ltd.,MinMax Games Ltd.,0.1,2017
Rugby 15,PS3,Maximum Games,HB Studios,0.1,2015
Deathtrap,PC,NeocoreGames,Neocore Games,0.1,2015
Sudoku Mania,DS,UFO Interactive,FrontLine Studios,0.1,2006
NASCAR Heat Evolution,XOne,Dusenberry Martin Racing,Monster Games,0.1,2016
USA Today Puzzle Craze,DS,Destineer,Magellan Interactive,0.1,2009
Kelly Slater's Pro Surfer,XB,Activision,Treyarch,0.1,2002
Machi-Ing Maker 3 x Tousouchuu,PSP,D3 Publisher,"Indi Software Co., Ltd.",0.1,2010
SVC Chaos: SNK vs. Capcom,XB,SNK,SNK Corporation,0.1,2004
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,Activision,PlatinumGames,0.1,2016
NAtURAL DOCtRINE,PS4,NIS America,Kadokawa Games,0.1,2014
NFL Tour,X360,EA Sports BIG,EA Tiburon,0.1,2008
World Snooker Championship 2007,PS3,Sega,Blade Interactive,0.1,2007
Choujikuu Yousai Macross: Ai Oboete Imasu ka,SAT,Bandai,Emotion,0.1,1997
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,PS2,Global Star Software,High Voltage Software,0.1,2005
Retrovirus,PC,Cadenza Interactive,Cadenza Interactive,0.1,2013
Sudden Strike 4,PS4,Kalypso Media,Kite Games,0.1,2017
Surge Concerto: Ciel nosurge,PSV,Gust,Gust,0.1,2012
Vanishing Point,PS,Acclaim Entertainment,Clockwork Games,0.1,2001
The History Channel: Civil War - Secret Missions,PS3,Activision,Cauldron Ltd.,0.1,2008
Dragonseeds,PS,Jaleco,Unknown,0.1,1998
The Bard's Tale,XB,inXile Entertainment,InXile Entertainment,0.1,2004
Dora & Kai-Lan's Pet Shelter,DS,2K Play,Black Lantern Studios,0.1,2011
Nodame Cantabile,DS,Namco Bandai,Bandai Namco Games,0.1,2007
Blackguards 2,PC,Daedalic Entertainment,Daedalic Entertainment,0.1,2015
Attack of the Movies 3D,Wii,Majesco,Panic Button Games Inc.,0.1,2010
Alien Hominid,PS2,O~3 Entertainment,The Behemoth,0.1,2004
Rento Fortune - Online Dice Board Game,PC,LAN - GAMES EOOD,LAN - GAMES EOOD,0.1,2017
Bullet Witch,X360,Atari,Cavia Inc.,0.1,2007
L'Aigle de Guerre,GBA,Nintendo,Genki,0.1,2001
The Technomancer,PC,Focus Home Interactive,Spiders,0.1,2016
Aidyn Chronicles: The First Mage,N64,THQ,H2O Interactive,0.1,2001
Ankh,PC,Viva Media,DECK13 Interactive,0.1,2006
Disney's Donald Duck: Goin' Quackers,N64,Ubisoft,Disney Interactive Studios,0.1,2000
Europa 1400: The Guild,PC,JoWood Productions,4HEAD Studios,0.1,2002
Flying Dragon,N64,Natsume,Culture Brain,0.1,1998
GT64 Championship Edition,N64,Ocean,Imagineer,0.1,1998
Indy Racing 2000,N64,Infogrames,Paradigm Entertainment,0.1,2000
International Superstar Soccer 64 (weekly JP sales),N64,Konami,Konami Computer Entertainment Osaka,0.1,1997
Jeopardy!,N64,GameTek,GameTek,0.1,1998
Lode Runner 3-D,N64,Infogrames,Big Bang,0.1,1999
Milo's Astro Lanes,N64,Crave Entertainment,Player 1,0.1,1998
Touhou Luna Nights,PC,Vaka Game Magazine,Vaka Game Magazine,0.1,2019
Virtual Pool 64,N64,Crave Entertainment,Celeris,0.1,1998
World War 3,PC,The Farm 51,The Farm 51,0.1,2018
Gekido,PS,Interplay,NA.P.S. Team SNC,0.1,2000
World Series of Poker 2008: Battle for the Bracelets,PS3,Activision,Left Field Productions,0.1,2007
Michael Jackson The Experience HD,PSV,Ubisoft,Longtail Studios,0.1,2012
Monkey Mischief! Party Time,Wii,Activision,Activision,0.1,2008
Nascar Unleashed,PS3,Activision,Activision,0.1,2011
Accel World vs. Sword Art Online: Millennium Twilight,PS4,Namco Bandai Games,Namco Bandai Games,0.1,2017
Spider-Man: Web of Shadows,DS,Activision,Griptonite Games,0.1,2008
nail'd,X360,Deep Silver,Techland,0.1,2010
Disney's The Jungle Book,GBA,Ubisoft,Visual Impact,0.1,2003
Rolling Stone: Drum King,Wii,505 Games,Del,0.1,2009
Little League World Series Baseball 2010,X360,Activision,Now Production,0.1,2010
FootLOL: Epic Fail League,PC,HeroCraft,Lion's Shade,0.1,2013
Angry Birds: Star Wars,WiiU,Activision,Exient Entertainment,0.1,2013
Army Men World War: Team Assault,PS,3DO,3DO,0.1,2001
Murdered: Soul Suspect,X360,Square Enix,Airtight Games,0.1,2014
Tom Clancy's Splinter Cell,GBA,Ubisoft,Ubisoft,0.1,2003
Wolfenstein The Two Pack,PS4,Bethesda Softworks,MachineGames,0.1,2017
TrackMania Turbo,XOne,Ubisoft,Nadeo,0.1,2016
Marvel vs. Capcom: Clash of Super Heroes,DC,Capcom,Capcom,0.1,1999
NBA Ballers: Rebound,PSP,Midway Games,Backbone Entertainment,0.1,2006
King's Field: The Ancient City,PS2,Agetec,From Software,0.1,2002
LEGO Rock Raiders,PS,LEGO Media,Data Design Interactive,0.1,2000
Silent Scope Complete,XB,Konami,Konami,0.1,2004
Odin Sphere: Leifthrasir,PS3,Atlus,Vanillaware,0.1,2016
Ghost in the Shell,PS,THQ,Exact,0.1,1997
Divinity: Original Sin,XOne,Focus Home Interactive,Larian Studios,0.1,2015
Tom Clancy's HAWX 2,Wii,Ubisoft,Ubisoft Bucharest,0.1,2010
Blades of Time,PS3,Konami Digital Entertainment,Gaijin Games Inc.,0.1,2012
Evil Dead: Fistfull of Boomstick,XB,THQ,VIS Entertainment,0.1,2003
Nicktoons MLB,DS,2K Sports,2K Sports,0.1,2011
Tom Clancy's Classic Trilogy,XB,Ubisoft,Unknown,0.1,2004
Harvest Moon DS Cute (jp sales),DS,Natsume,Marvelous Interactive,0.1,2008
Bleach: Dark Souls (JP sales),DS,Sega,"Treasure Co., Ltd.",0.1,2008
Farming Simulator 2011,PC,Unknown,Giants Software,0.1,2010
Indigo Prophecy,XB,Atari,Quantic Dream,0.1,2005
Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,Benesse,Benesse,0.1,2007
Over the Hedge,XB,Activision,Edge of Reality,0.1,2006
Start the Party! Save the World,PS3,Sony Computer Entertainment,Supermassive Games Ltd.,0.1,2011
SCORE International Baja 1000: The Official Game,Wii,Activision,Left Field Productions,0.1,2008
Sneakers,XB,Microsoft Game Studios,Media.Vision,0.1,2002
Crime Crackers,PS,Sony Computer Entertainment,Media.Vision,0.1,1994
NHL 2K6,X360,2K Sports,Kush Games,0.1,2005
Thor: God of Thunder,3DS,Sega,WayForward Technologies,0.1,2011
Guilty Gear Xrd REV 2,PS4,Aksys Games,Arc System Works,0.1,2017
Contact,DS,Atlus,Grasshopper Manufacture,0.1,2006
Micro Machines V3,PS,Midway Games,Codemasters,0.1,1997
Dragon Ball: Evolution,PSP,Namco Bandai,Dimps Corporation,0.1,2009
College Hoops 2K6,XB,2K Sports,Visual Concepts,0.1,2005
"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,Sega,Overworks,0.1,2000
"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,THQ,Relic,0.1,2010
Idol Janshi Suchie-Pai Remix,SAT,Jaleco,Jaleco,0.1,1995
Big League Sports,Wii,Activision,Koolhaus Games,0.1,2008
Cubic Ninja,3DS,Ubisoft,AQ Interactive,0.1,2011
Exhibition Volume 03,XB,Microsoft,Various,0.1,2003
Zero4 Champ RR-Z,SNES,Media Rings,Media Rings,0.1,1995
Initial D: Street Stage,PSP,Sega,Sega Rosso,0.1,2006
Tales of Innocence R,PSV,Namco Bandai,Alfa System,0.1,2012
Nancy Drew: The Model Mysteries,DS,THQ,THQ,0.1,2010
Harry Potter and the Deathly Hallows - Part 2,PC,Electronic Arts,EA Bright Light,0.1,2011
Opoona,Wii,KOEI,ArtePiazza,0.1,2008
Predator: Concrete Jungle,XB,VU Games,Eurocom Entertainment Software,0.1,2005
Sumikko Gurashi: Sumikko Park e Youkoso,NS,Nippon Columbia,Nippon Columbia,0.1,2017
May's Mystery: Forbidden Memories,DS,Unknown,Mastertronic,0.1,2011
NatGeo Challenge! Wild Life,PS3,D3 Publisher,Gusto Games,0.1,2010
System Flaw,DS,Storm City Games,Visual Impact,0.1,2009
Lucky * Star: Ryouou Gakuen Outousai,PS2,Kadokawa Shoten,Type-Moon,0.1,2008
SpongeBob: HeroPants,X360,Activision,Behaviour Interactive,0.1,2015
Rapala Pro Bass Fishing 2010,DS,Activision,Activision,0.1,2010
Naruto Shippuuden: Gekitou Ninja Taisen! EX,Wii,Takara Tomy,8ing/Raizing,0.1,2007
Universal Studios Theme Parks Adventure,GC,Kemco,Kemco,0.1,2001
Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,Nintendo,Nintendo,0.1,2009
Fifi and the Flowertots,DS,Avanquest,Avanquest Software,0.1,2009
Just Dance 2018,X360,Ubisoft,Ubisoft Paris,0.1,2017
Piglet's Big Game,PS2,Gotham Games,Doki Denki,0.1,2003
Ben 10 Galactic Racing,X360,D3 Publisher,Monkey Bar Games,0.1,2011
Mystery Stories: Curse of the Ancient Spirits,DS,Unknown,Avanquest Software,0.1,2011
MySims SkyHeroes,X360,Electronic Arts,The Sims Studio,0.1,2010
Real Bout Garou Densetsu,SAT,SNK,SNK Corporation,0.1,1996
Cate West: The Vanishing Files,DS,Destineer,Magellan Interactive,0.1,2008
Project FIFA World Cup,PS2,EA Sports,Electronic Arts,0.1,2002
The BIGS 2,PSP,2K Sports,Blue Castle Games,0.1,2009
Rocky: Legends,XB,Ubisoft,Venom Games,0.1,2004
Lord of Apocalypse,PSP,Square Enix,Access Games,0.1,2011
Jikkyou Powerful Pro Yakyuu 2013,PSV,Konami Digital Entertainment,Konami,0.1,2013
NeverDead,X360,Konami,Rebellion Developments,0.1,2012
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,Nintendo,Nintendo,0.1,2004
Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,Alchemist,Alchemist,0.1,2008
Star Trek: Shattered Universe,PS2,TDK Mediactive,Starsphere Interactive,0.1,2004
Who Wants to Be A Millionaire?,X360,Ubisoft,Ubisoft,0.1,2011
Fantasia: Music Evolved,X360,Disney Interactive Studios,Harmonix Music Systems,0.1,2014
Pajama Sam: Don't Fear the Dark,Wii,Majesco,Mistic Studios,0.1,2008
The Land Before Time: Great Valley Racing Adventure,PS,TDK Mediactive,Vision Scape,0.1,2001
The Walking Dead: Season Two,X360,Telltale Games,Telltale Games,0.1,2014
King of Clubs: Mini Golf,Wii,Crave Entertainment,Oxygen Interactive,0.1,2008
Ultra Street Fighter IV,PS4,Sony Computer Entertainment,Capcom,0.1,2015
Let's Sing 2016,PS4,Ravenscourt,Voxler,0.1,2015
Disney Sing It! High School Musical 3: Senior Year,X360,Disney Interactive Studios,Zoe Mode,0.1,2009
The Smurfs 2,WiiU,Ubisoft,Way Forward,0.1,2013
MTX Mototrax,XB,Activision,Left Field Productions,0.1,2004
Blast Chamber,PS,Activision,Attention To Detail,0.1,1996
Championship Pony,DS,"Destination Software, Inc",Unknown,0.1,2008
EyeToy: Operation Spy,PS2,Sony Computer Entertainment,SCEE London Studio,0.1,2005
Petz Hamsterz Superstarz,DS,Ubisoft,Ubisoft,0.1,2009
Sega Genesis Classics,XOne,Sega,Sega,0.1,2018
MotoGP 07,PS2,Capcom,Milestone S.r.l.,0.1,2007
Escape Dead Island,PS3,Deep Silver,Fatshark,0.1,2014
Bejeweled Twist,DS,PopCap Games,Griptonite Games,0.1,2010
Option Tuning Car Battle,PS,MTO,Unknown,0.1,1998
Harvest Moon: Frantic Farming,DS,Natsume,Natsume,0.1,2009
Kuroko no Basuke: Miracles to Victory,3DS,Namco Bandai Games,Bandai Namco Games,0.1,2014
Resident Evil 4,PS4,Capcom,Capcom,0.1,2016
The Secret Saturdays: Beasts of the 5th Sun,Wii,D3 Publisher,High Voltage Software,0.1,2009
Derby Jockey 2,SNES,Asmik Corp,Muse Soft,0.1,1995
Resident Evil: Revelations 2,X360,Capcom,Capcom,0.1,2015
Star Wars: Lethal Alliance,DS,Ubisoft,Ubisoft Casablanca,0.1,2006
Dead or Alive 5 Last Round,XOne,Tecmo Koei,Team Ninja,0.1,2015
Tornado Outbreak,Wii,Konami,Loose Cannon Studios,0.1,2009
Blue Dragon: Awakened Shadow,DS,D3 Publisher,Mistwalker Corporation / tri-Crescendo / Bird Studio,0.1,2010
Famicom Mini: Mappy,GBA,Nintendo,Namco,0.1,2004
Happy Feet Two,X360,Warner Bros. Interactive,KMM Games,0.1,2011
iCarly 2: iJoin The Click!,Wii,Activision,Blitz Games,0.1,2010
Reign of Fire,XB,BAM! Entertainment,Kuju Entertainment,0.1,2002
Pro Evolution Soccer 2017,XOne,Konami Digital Entertainment,PES Productions,0.1,2016
Descent Maximum,PS,Interplay,Parallax Software,0.1,1997
Cartoon Network: Punch Time Explosion,3DS,Crave Entertainment,Papaya Studios,0.1,2011
Dead or Alive 5 Plus,PSV,Tecmo Koei,Team Ninja,0.1,2013
Pro Evolution Soccer 2013,Wii,Konami Digital Entertainment,Konami,0.1,2012
Digimon World DS,DS,Namco Bandai,Namco Bandai Games America,0.1,2006
Dora's Cooking Club,DS,2K Play,2K Play,0.1,2010
Shining Force EXA,PS2,Sega,Neverland,0.1,2007
Virtual Pro Wrestling,PS,Asmik Ace Entertainment,Aki Corporation,0.1,1996
Hakuoki: Demon of the Fleeting Blossom,PSP,Aksys Games,Idea Factory,0.1,2012
Shadow Tower,PS,Agetec,From Software,0.1,1999
Horse Life Adventures,DS,Valcon Games,NEKO Entertainment Yullaby,0.1,2009
Luminous Arc 2 (JP sales),DS,Atlus,imageepoch Inc.,0.1,2008
Utawarerumono: Mask of Truth,PSV,Atlus,Aqua Plus,0.1,2017
CSI: Hard Evidence,X360,Ubisoft,Telltale Games,0.1,2007
Watchmen: The End is Nigh Part 1 & 2,X360,Warner Bros. Interactive,Deadline Games,0.1,2009
Kuroko's Basketball: Ties to Future,3DS,Namco Bandai Games,Bandai Namco Games,0.1,2015
Resident Evil: Origins Collection,XOne,Capcom,Capcom,0.1,2016
Ford Racing 3,DS,Empire Interactive,Visual Impact,0.1,2005
Persona Q2: New Cinema Labyrinth,3DS,Atlus,Atlus,0.1,2019
Ice Age 2: The Meltdown,XB,Vivendi Games,Eurocom?ÿEntertainment?ÿSoftware,0.1,2006
Guilty Gear Isuka,PS2,Sammy Corporation,Arc System Works,0.1,2004
Shadow Master,PS,Sony Computer Entertainment,Hammerhead,0.1,1997
Global Touring Challenge: Africa,PS2,Majesco,Rage Software,0.1,2002
Man vs. Wild,X360,Crave Entertainment,Scientifically Proven,0.1,2011
Sword Art Online: Fatal Bullet,XOne,Namco Bandai Games,Dimps Corporation,0.1,2018
Classic NES Series: Excitebike,GBA,Nintendo,Nintendo,0.1,2004
Young Justice: Legacy,PS3,Warner Bros. Interactive Entertainment,Freedom Factory Studios,0.1,2013
Tokimeki Memorial: Taisen Pazurudama,PS,Konami,Konami,0.1,1996
The Legend of Heroes: Trails in the Sky,PSP,Xseed Games,Nihon Falcom Corporation,0.1,2011
Shantae and the Pirate's Curse,3DS,WayForward Technologies,WayForward Technologies,0.1,2016
Heatseeker,Wii,Codemasters,IR Gurus,0.1,2007
MotoGP 2,XB,THQ,Climax Group,0.1,2003
Pro Yakyuu Famista DS,DS,Namco Bandai,Bandai Namco Games,0.1,2007
Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,GBA,Bandai,Banpresto,0.1,2003
Emergency 2012,PC,THQ,Quadriga Games,0.1,2011
PAC-MAN and the Ghostly Adventures,3DS,Namco Bandai Games,Inti Creates,0.1,2013
National Geographic Challenge!,Wii,Ignition Entertainment,Gusto Games,0.1,2011
Power Stone Collection,PSP,Capcom,Capcom,0.1,2006
D??racin??,PS4,Sony Interactive Entertainment,From Software,0.1,2018
Ninja Reflex,DS,Electronic Arts,Sanzaru Games,0.1,2008
Squinkies 2: Adventure Mall Surprize!,DS,Activision,Activision,0.1,2011
Paws & Claws: Pet Vet,Wii,THQ,ValuSoft,0.1,2009
Hyperdimension Idol Neptunia PP,PSV,Namco Bandai Games,Idea Factory,0.1,2014
Ar tonelico: Melody of Elemia,PS2,Nippon Ichi Software,Gust,0.1,2007
Gundam Breaker,PSV,Namco Bandai Games,Bandai,0.1,2013
NASCAR,PSP,EA Sports,EA Tiburon,0.1,2006
Sol Trigger,PSP,Image Epoch,Image Epoch,0.1,2012
Darkest of Days,X360,Phantom EFX,8MonkeyLabs,0.1,2009
Kiniro no Corda 3,PSP,KOEI,Koei,0.1,2010
Castlevania Double Pack,GBA,Konami,KCET,0.1,2006
Skylanders: Spyro's Adventure,PC,Activision,Toys for Bob,0.1,2011
Ballistic: Ecks vs. Sever,GBA,BAM! Entertainment,Crawfish Interactive,0.1,2002
"Blast Works: Build, Trade, Destroy",Wii,Majesco,BudCat Creations,0.1,2008
Touch Detective,DS,Atlus,"BeeWorks Co., Ltd.",0.1,2006
Alvin and the Chipmunks: The Squeakquel,Wii,Majesco,ImaginEngine,0.1,2009
Jikkyou Powerful Pro Yakyuu 11,GC,Konami,Diamond Head,0.1,2004
Steel Battalion,XB,Capcom,"Capcom Production Studio 4 / Nude Maker Co., Ltd.",0.1,2002
Battlefield V,PC,Electronic Arts,EA DICE,0.1,2018
Street Fighter Collection,PS,Capcom,Capcom,0.1,1997
Digimon Story: Super Xros Wars Blue/Red,DS,Namco Bandai,Namco Bandai Games,0.1,2011
Rio,X360,THQ,TBA,0.1,2011
Ultimate Marvel vs. Capcom 3,PS3,Capcom,Capcom,0.1,2011
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,Konami,Silicon Studio,0.1,2010
SNK vs. Capcom Card Fighters DS,DS,SNK Playmore,SNK Playmore Corporation,0.1,2007
MX SuperFly featuring Ricky Carmichael,XB,THQ,Pacific Coast Power & Light,0.1,2002
Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!,DS,Konami,Konami,0.1,2009
Medal of Honor: Vanguard,Wii,Electronic Arts,EA Los Angeles,0.1,2007
Yooka-Laylee,XOne,Sold Out,Playtonic Games,0.1,2017
Real Farm,XOne,Soedesco,Triangle Studios,0.1,2017
Supremacy MMA,PSV,505 Games,Kung Fu Factory,0.1,2012
MindJack,X360,Square Enix,FeelPlus,0.1,2011
Imagine: Reporter,DS,Ubisoft,Visual Impact,0.1,2010
Code Lyoko: Quest for Infinity,Wii,Game Factory,Neko Entertainment,0.1,2007
Minority Report: Everybody Runs,XB,Activision,Treyarch,0.1,2002
Kouchuu Ouja Mushi King: Super Collection,DS,Sega,Sega,0.1,2007
Slime Rancher,XOne,Skybound Games,Monomi Park,0.1,2018
thinkSMART,DS,Conspiracy Entertainment,Conspiracy Entertainment,0.1,2010
Disney Planes Fire & Rescue,3DS,Disney Interactive Studios,Little Orbit,0.1,2014
Lost Dimension,PSV,Atlus,Lancarse,0.1,2015
Kung Fu Panda 2,PS3,THQ,THQ,0.1,2011
Shox,PS2,Electronic Arts,Electronic Arts,0.09,2002
Glory Days 2,DS,Secret Stash Games,Odenis Studio,0.09,2007
Nights of Azure 2,PS4,Tecmo Koei,Gust,0.09,2017
The Technomancer,PS4,Focus Home Interactive,Spiders,0.09,2016
Unou no Tatsujin: Soukai! Machigai Museum 2,DS,Namco Bandai,Bandai Namco Games,0.09,2007
Playboy: The Mansion,XB,ARUSH Entertainment,Cyberlore Studios,0.09,2005
Neo Atlas,PS,ArtDink,Flip Flop Production,0.09,1998
Disney's Aladdin in Nasira's Revenge,PS,Sony Computer Entertainment,Argonaut Games,0.09,2001
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GC,Activision,MagicWand,0.09,2005
SingStar Guitar,PS3,Sony Computer Entertainment,SCEE London Studio,0.09,2010
Summon Night 6: Lost Borders,PSV,Gaijinworks,Media.Vision,0.09,2017
Winning Post 6,PS2,KOEI,Koei/Inis,0.09,2003
Family Party: 30 Great Games,Wii,D3 Publisher,Tamsoft Corporation,0.09,2008
Nickelodeon Kart Racers,XOne,GameMill Entertainment,Solutions 2 Go,0.09,2018
Whacked!,XB,Microsoft Game Studios,Presto Studios,0.09,2002
Barnyard,PS2,THQ,Blue Tongue,0.09,2006
Field & Stream: Total Outdoorsman Challenge,X360,505 Games,Beast Studios S.r.l.,0.09,2010
